pl_rade,pl_bmasse,st_teff,pl_eqt,st_mass,sy_dist,st_met
11.80305668,321.00669107,5870.0,696.0,0.918,413.591,-0.198
2.44,5.2,5672.0,1026.0,0.965,326.381,0.0
1.69,7.9,5120.0,2223.0,0.803,152.509,-0.04
12.206601,157.32585,4878.0,1586.0,1.19,609.818,-0.11
1.014,4.3,4500.0,610.0,0.742,59.2474,-0.02
3.0,18.1,4500.0,470.0,0.742,59.2474,-0.02
1.565,3.0,4500.0,420.0,0.742,59.2474,-0.02
0.89,158.915,3492.0,1471.0,0.463,98.8765,0.08
9.056872,123.00021,5340.0,565.0,0.919,153.856,0.22
12.273855,323.86877,5654.0,1114.0,1.005,347.917,0.12
13.56286665,295.58041851,5585.0,962.0,0.96,347.917,0.1
1.54,5.31,4373.0,2039.0,0.662,61.8736,0.03
1.51,4.97,4570.0,2103.0,0.708,61.8736,0.0
7.0,8.0,4570.0,695.0,0.708,61.8736,0.0
2.3,6.5,6011.0,1174.0,1.01,80.8994,-0.4
2.37,8.92,3457.0,284.0,0.359,38.0266,0.12
2.46597575,11.41003981,5365.0,797.5,0.735,203.896,-0.578
2.24179614,11.44182265,5110.0,729.0,0.71,203.896,-0.65
2.71257333,20.97667486,5128.0,965.8,0.823,154.83,0.022
2.69,20.0,5170.0,969.0,0.865,154.83,0.12
1.73,6.9,4491.0,913.0,0.711,107.518,-0.01
